Customer ID,avg_order_value,time_as_customer,avg_price_item,subscriber_newsletter,uses_coupons,customer_group,affiliation
1.0,260.0,2956,130.0,1,0,Medical 50,Medical - Chiropractor
3.0,160.0,755,53.333333333333336,0,1,Equine Whoelsale 40,Medical - Chiropractor/HealthSource
5.0,200.0,2665,20.0,0,1,Medical 50,Medical - Chiropractor/HealthSource
6.0,399.99,2465,399.99,0,1,Medical 50,Medical - Chiropractor/HealthSource
9.0,0.0,2975,0.0,1,0,Medical 50,Medical - Chiropractor
10.0,196.0,2353,19.6,1,1,Medical 50,Medical - Chiropractor
11.0,60.0,1846,20.0,1,1,Friends or Sponsored Athletes,Medical - Chiropractor
13.0,320.0,1629,35.55555555555556,1,1,Medical 50,Medical - Chiropractor/HealthSource
14.0,480.0,3061,34.285714285714285,1,1,Medical 50,Medical - Chiropractor
18.0,160.0,434,80.0,1,1,Friends or Sponsored Athletes,Consumer - General Sports
29.0,200.0,708,20.0,1,1,Medical 50,Medical - Chiropractor/HealthSource
30.0,79.9,3028,26.633333333333336,1,0,Consumer,Medical - Chiropractor/HealthSource
31.0,520.0,1527,520.0,1,1,Medical 40,Medical - Chiropractor
33.0,240.35,2857,48.07,1,1,Medical 40,Medical - Chiropractor
35.0,80.0,853,26.666666666666668,1,1,Friends or Sponsored Athletes,Medical - Chiropractor
37.0,603.06,3025,20.101999999999997,1,1,Medical 50,Medical - Chiropractor
39.0,240.01,1556,60.0025,1,1,Medical 40,Medical - Chiropractor
42.0,240.0,2475,20.0,1,1,Medical 50,Medical - Chiropractor/HealthSource
46.0,32.78,2266,16.39,1,1,Consumer,Medical - Chiropractor/HealthSource
50.0,280.0,2375,20.0,0,1,Medical 40,Medical - Physical Therapist
52.0,113.0,1489,22.6,1,1,Medical 40,Medical - Chiropractor
53.0,120.0,483,120.0,1,1,Medical 40,Medical - Chiropractor
54.0,318.0,2420,18.705882352941178,1,1,Medical 40,Medical - Chiropractor
57.0,0.0,1236,0.0,1,0,Consumer,
64.0,60.0,1928,20.0,0,0,Medical 40,Medical - Chiropractor
